True_Data,Base,True_Data_origin,Predicted_Data,Predicted_Data_origin
-0.057279259,40.27428055,37.9673996,-0.02817189,39.13967767
-0.11695212,40.68278885,35.92485046,-0.021642521,39.80231134
-0.096014408,39.79367828,35.97291183,-0.015139222,39.19123294
-0.060270661,39.07278061,36.71783829,-0.07278802,36.22875105
-0.050091607,39.33710861,37.36664963,-0.06709632,36.6977321
-0.025107152,39.24098969,38.25576019,-0.060785793,36.8556959
-0.017156865,39.21696091,38.54412079,-0.017833497,38.51758636
-0.041945279,39.52935028,37.87128067,-0.011753283,39.06475151
-0.047393399,40.56264114,38.64023972,-0.004996698,40.3599611
-0.048984444,40.22621918,38.25576019,-0.031922437,38.94209932
-0.067296383,40.70682144,37.9673996,-0.02548851,39.66926579
-0.050505029,40.44248962,38.39994049,-0.018571597,39.69140726
-0.087995394,41.23548126,37.60694885,-0.061407708,38.7033058
-0.037148005,40.10607147,38.61621094,-0.05447392,37.92133588
-0.02978969,41.13935852,39.9138298,-0.04737013,39.19058152
-0.059025788,41.93235016,39.45726013,-0.04125695,40.20234869
-0.008710819,41.37966156,41.01921082,-0.03465398,39.94569235
-0.046056364,41.74010849,39.81771088,-0.027691767,40.58425053
-0.110795501,42.2928009,37.60694885,-0.050764278,40.14583805
-0.079814902,41.54787064,38.23173141,-0.043501347,39.74048105
-0.098016354,41.18741989,37.15037918,-0.036565512,39.68137955
-0.095375737,41.57189941,37.60694885,-0.10016282,37.40794139
-0.08134807,41.35562897,37.99142838,-0.093422316,37.49209126
-0.086426849,41.42771912,37.84725189,-0.08672776,37.83478673
-0.064896733,40.73085022,38.08755112,-0.06443289,38.10644507
-0.017802304,39.14487076,38.44800186,-0.05755809,36.89176795
-0.015586034,38.54412079,37.94337082,-0.050997846,36.57845337
-0.007677559,37.5588913,37.2705307,0.015540248,38.14256557
0.038258513,36.42948151,37.8232193,0.022028368,37.23196204
0.008742417,35.7326088,36.04499817,0.028365375,36.7461776
0.012056288,35.87678909,36.30932999,0.008559441,36.18387523
0.024948077,34.67528915,35.54037094,0.014874756,35.19107356
-0.006644497,36.16514969,35.92485046,0.020628493,36.91118076
-0.038022794,37.91933823,36.47753906,-0.046210274,36.16707465
-0.084692669,38.30382156,35.05976868,-0.04034006,36.75864287
-0.086404011,37.8232193,34.55514145,-0.03412548,36.53248277
-0.079465983,37.79919052,34.79544067,-0.07997832,34.77607375
-0.131261861,37.89530945,32.92110062,-0.07349505,35.11019253
-0.146649876,38.01546097,32.44049835,-0.06721217,35.46035956
-0.140960863,38.01546097,32.6567688,-0.13402322,32.92050764
-0.129337569,38.08755112,33.16139984,-0.12540127,33.31132428
-0.140595299,37.94337082,32.60871124,-0.11660989,33.51879923
-0.163098285,38.15964127,31.93586922,-0.13749248,32.91297764
-0.127005312,35.94887924,31.38318062,-0.12932333,31.29984927
-0.118779045,36.21321106,31.91184044,-0.121904716,31.79864931
-0.161707628,37.15037918,31.14287949,-0.1315966,32.26151688
-0.1842767,38.20769882,31.16691017,-0.124732986,33.44193902
-0.193047785,38.71232986,31.23900032,-0.116464645,34.20371327
-0.190476174,38.85651016,31.45527077,-0.18755713,31.56869575
-0.179113911,37.9673996,31.16691017,-0.17925443,31.16157568
-0.138461557,35.92485046,30.95063972,-0.17109433,29.77831338
-0.151636629,35.97291183,30.51810074,-0.13215582,31.21888161
-0.151832435,36.71783829,31.14287949,-0.12472612,32.13816491
-0.16913181,37.36664963,31.04676056,-0.11757919,32.97310805
-0.183417081,38.25576019,31.23900032,-0.18029046,31.35861157
-0.180798012,38.54412079,31.57542038,-0.17137006,31.93881368
-0.152284274,37.87128067,32.1040802,-0.16283521,31.70450158
-0.164801008,38.64023972,32.27228928,-0.15943518,32.47962719
-0.14133165,38.25576019,32.84901047,-0.15044752,32.50027717
-0.163924056,37.9673996,31.74362946,-0.14158991,32.59160005
-0.177096403,38.39994049,31.59944916,-0.16089725,32.22149548
-0.150798717,37.60694885,31.93586922,-0.15185627,31.89609662
-0.168014981,38.61621094,32.12810898,-0.14320125,33.08632196
-0.196869381,39.9138298,32.05601883,-0.18598334,32.49052163
-0.180876966,39.45726013,32.32035065,-0.1769504,32.47528236
-0.211482162,41.01921082,32.34437943,-0.16810457,34.12369324
-0.180446608,39.81771088,32.63274002,-0.17841315,32.71370755
-0.136102217,37.60694885,32.48855972,-0.16904105,31.2498312
-0.147077309,38.23173141,32.60871124,-0.16026722,32.10443757
